filename,dimensions,frame_count,color_count,semi_transparent_pixel_count
fire_breather_swing.png,256x64,4,23,0
frankenstein_batting_stance.png,64x64,1,19,0
frankenstein_celebrate.png,128x64,2,15,0
frankenstein_idle.png,128x64,2,18,0
frankenstein_pitch.png,256x64,4,22,0
frankenstein_run.png,256x64,4,16,0
frankenstein_swing.png,256x64,4,21,0
great_ape_batting_stance.png,64x64,1,19,0
great_ape_celebrate.png,128x64,2,19,0
great_ape_idle.png,128x64,2,21,0
great_ape_pitch.png,256x64,4,23,0
great_ape_run.png,256x64,4,23,0
great_ape_swing.png,256x64,4,23,0
hades_batting_stance.png,64x64,1,20,0
hades_celebrate.png,128x64,2,20,0
hades_idle.png,128x64,2,19,0
hades_pitch.png,256x64,4,23,0
hades_run.png,256x64,4,20,0
hades_swing.png,256x64,4,21,0
headless_horseman_batting_stance.png,64x64,1,9,0
headless_horseman_celebrate.png,128x64,2,18,0
headless_horseman_idle.png,128x64,2,18,0
headless_horseman_pitch.png,256x64,4,20,0
headless_horseman_run.png,256x64,4,19,0
headless_horseman_swing.png,256x64,4,19,0
hera_batting_stance.png,64x64,1,1,0
hera_celebrate.png,128x64,2,15,0
hera_idle.png,128x64,2,14,0
hera_pitch.png,256x64,4,16,0
hera_run.png,256x64,4,17,0
hera_swing.png,256x64,4,19,0
hermes_batting_stance.png,64x64,1,6,0
hermes_celebrate.png,128x64,2,18,0
hermes_idle.png,128x64,2,20,0
hermes_pitch.png,256x64,4,22,0
hermes_run.png,256x64,4,22,0
hermes_swing.png,256x64,4,22,0
huck_finn_batting_stance.png,64x64,1,24,0
huck_finn_celebrate.png,128x64,2,25,0
huck_finn_idle.png,128x64,2,22,0
huck_finn_pitch.png,256x64,4,25,0
huck_finn_run.png,256x64,4,25,0
