show_id,show_date,year,venue,city,state,set,position,song,song_id,is_cover,original_artist,length_sec,show_gap,times_played,rarity_rating,crowd_rating,is_jamchart,is_recommended,jamchart_note,transition,is_segue,tags,footnote,show_notes,teases
1616038744,2014-12-23,2014,Station House Bar and Grille,Norwalk,CT,1,4,Indian River,410,false,,,0,2,0,50,false,false,,",",false,,,,
1616038744,2014-12-23,2014,Station House Bar and Grille,Norwalk,CT,1,5,Gringo,484,false,,,0,2,0,,false,false,,",",false,opener|ballad,,,
1616038744,2014-12-23,2014,Station House Bar and Grille,Norwalk,CT,1,6,This Old Sea,572,false,,,0,2,0,54,false,false,,",",false,jam,,,
1616038744,2014-12-23,2014,Station House Bar and Grille,Norwalk,CT,1,7,Flood in Franklin Park,972,true,Grant Green,,0,1,0,,false,false,,",",false,,Grant Green. First known version.,,
1616038744,2014-12-23,2014,Station House Bar and Grille,Norwalk,CT,1,8,Arcadia,403,false,,,0,4,0,67,false,false,,",",false,closer,,,
1616038744,2014-12-23,2014,Station House Bar and Grille,Norwalk,CT,1,9,Turned Clouds,400,false,,,0,3,0,,false,false,,",",false,,,,
1616038744,2014-12-23,2014,Station House Bar and Grille,Norwalk,CT,1,10,Wild Night,588,true,Van Morrison,,0,2,0,,false,false,,,false,opener|closer,Van Morrison.,,
1616038744,2014-12-23,2014,Station House Bar and Grille,Norwalk,CT,2,11,Madhuvan,512,false,,,0,2,0,75,false,false,,",",false,opener|closer|jam,,,
1616038744,2014-12-23,2014,Station House Bar and Grille,Norwalk,CT,2,12,I Wish,495,true,Stevie Wonder,,2,2,0,,false,false,,",",false,,Stevie Wonder.,,
1616038744,2014-12-23,2014,Station House Bar and Grille,Norwalk,CT,2,13,Caution,446,true,Bob Marley,,0,2,0,36,false,false,,",",false,,Bob Marley.,,
1616038744,2014-12-23,2014,Station House Bar and Grille,Norwalk,CT,2,14,Billie Jean,440,true,Michael Jackson,,2,2,0,,false,false,,",",false,,Michael Jackson.,,
1616038744,2014-12-23,2014,Station House Bar and Grille,Norwalk,CT,2,15,Jive I,411,false,,,0,3,0,,false,false,,",",false,,Wiltonian Jive.,,
1616038744,2014-12-23,2014,Station House Bar and Grille,Norwalk,CT,2,16,Into the Myst,402,false,,,0,1,0,57,false,false,,",",false,jam,First known version.,,
1616038744,2014-12-23,2014,Station House Bar and Grille,Norwalk,CT,2,17,Spirit Of The Dark Horse,557,false,,,0,3,0,41,false,false,,,false,,,,
1601959537,2015-01-16,2015,Viva Zapata,Westport,CT,1,1,This Old Sea,572,false,,,0,3,0,54,false,false,,",",false,jam,,,
1616038160,2015-02-20,2015,Jimmy's Seaside Tavern,Stamford,CT,1,1,Jam,802,false,,,3,3,0,44,false,false,,",",false,opener|jam,,,
1616038160,2015-02-20,2015,Jimmy's Seaside Tavern,Stamford,CT,1,2,Switchin',564,true,Wes Montgomery,,0,1,0,,false,false,,",",false,opener,Wes Montgomery. First known version.,,
1616038160,2015-02-20,2015,Jimmy's Seaside Tavern,Stamford,CT,1,3,Atlas,439,true,The Wood Brothers,,0,1,0,36,false,false,,",",false,opener,The Wood Brothers. First known version.,,
1616038160,2015-02-20,2015,Jimmy's Seaside Tavern,Stamford,CT,1,4,Rosetta,539,true,Earl Hines,,1,3,0,,false,false,,",",false,,Earl Hines.,,
1616038160,2015-02-20,2015,Jimmy's Seaside Tavern,Stamford,CT,1,5,Tried & Tempted,575,true,The Wood Brothers,,0,1,0,,false,false,,",",false,,The Wood Brothers. First known version.,,
1616038160,2015-02-20,2015,Jimmy's Seaside Tavern,Stamford,CT,1,6,Into the Myst,402,false,,,1,2,0,57,false,false,,",",false,jam,,,
1616038160,2015-02-20,2015,Jimmy's Seaside Tavern,Stamford,CT,1,7,Peggy-O,531,true,Grateful Dead,,0,1,0,,false,false,,",",false,,Grateful Dead. First known version.,,
1616038160,2015-02-20,2015,Jimmy's Seaside Tavern,Stamford,CT,1,8,It Burns Within,500,false,St. John's Revival,,2,2,0,,false,false,,",",false,,,,
1616038160,2015-02-20,2015,Jimmy's Seaside Tavern,Stamford,CT,1,9,Lead the Way,406,false,,,2,2,0,44,false,false,,",",false,opener,,,
1616038160,2015-02-20,2015,Jimmy's Seaside Tavern,Stamford,CT,1,10,Heart's On Fire,486,true,Passenger,,0,1,0,,false,false,,,false,,Passenger. First known version.,,
1616038160,2015-02-20,2015,Jimmy's Seaside Tavern,Stamford,CT,2,11,Madhuvan,512,false,,,1,3,0,75,false,false,,",",false,opener|closer|jam,,,
1616038160,2015-02-20,2015,Jimmy's Seaside Tavern,Stamford,CT,2,12,Spirit Of The Dark Horse,557,false,,,1,4,0,41,false,false,,",",false,,,,
1616038160,2015-02-20,2015,Jimmy's Seaside Tavern,Stamford,CT,2,13,Wake Up,583,true,Arcade Fire,,0,1,0,,false,false,,",",false,,Arcade Fire. First known version.,,
1616038160,2015-02-20,2015,Jimmy's Seaside Tavern,Stamford,CT,2,14,Rosewood Heart,412,false,,,0,1,0,60,false,false,,",",false,jam|peak,First known version.,,
1616038160,2015-02-20,2015,Jimmy's Seaside Tavern,Stamford,CT,2,15,Jive I,411,false,,,1,4,0,,false,false,,",",false,,Wiltonian Jive.,,
1616038160,2015-02-20,2015,Jimmy's Seaside Tavern,Stamford,CT,2,16,Me & My Uncle,592,true,John Philips,,3,2,0,,false,false,,,false,opener,John Phillips.,,
1616037808,2015-03-14,2015,Jimmy's Seaside Tavern,Stamford,CT,1,1,Turned Clouds,400,false,,,2,4,0,,false,false,,",",false,,,,
