strip,character,animation,classification,needs_art_reasons,classification_after_bg,after_bg_reasons,recovered_by_bg_removal,width,height,frame_count,expected_frames,color_count,semi_transparent_pixels,opaque_pixels_per_frame,opaque_coverage_pct,baseline_per_frame,interior_hole_pixels,interior_hole_total,edge_pixels_x0,edge_pixels_x63,background_pixels_per_frame,detached_islands,detached_island_detail,identical_frame_pairs,consecutive_frame_deltas
mr_hyde_idle,mr_hyde,idle,REPAIRABLE,,REPAIRABLE,,,128,64,2,2,21,0,973;944,23.75;23.05,62;62,17;14,31,0;0,0;0,0;0,0,,,462
mr_hyde_pitch,mr_hyde,pitch,REPAIRABLE,,REPAIRABLE,,,256,64,4,4,21,0,1194;1179;1100;1141,29.15;28.78;26.86;27.86,63;63;63;63,0;0;32;35,67,0;0;0;0,0;0;0;0,0;0;0;0,6,"f0:242px@28,50-52,63 f1:219px@26,51-50,63 f1:25px@57,26-61,35 f2:238px@25,50-49,63 f2:31px@56,1-62,6 f3:213px@27,52-51,63",,1395;1233;1539
mr_hyde_run,mr_hyde,run,REPAIRABLE,,REPAIRABLE,,,256,64,4,4,22,0,1063;978;733;866,25.95;23.88;17.9;21.14,63;63;62;62,5;0;0;0,5,0;0;0;0,0;0;0;0,0;0;0;0,3,"f0:144px@33,55-53,63 f1:119px@26,56-45,63 f1:45px@49,52-56,63",,1050;1582;1040
mr_hyde_swing,mr_hyde,swing,REPAIRABLE,,REPAIRABLE,,,256,64,4,4,21,0,1108;1159;1119;1059,27.05;28.3;27.32;25.85,63;63;63;63,2;0;0;1,3,0;0;0;0,0;0;0;0,0;0;0;0,6,"f0:161px@19,54-43,63 f1:172px@21,53-42,63 f1:31px@9,59-16,63 f2:186px@7,53-31,63 f3:157px@35,54-55,63 f3:20px@7,19-10,24",,1332;1821;1913
mrs_claus_batting_stance,mrs_claus,batting_stance,REPAIRABLE,,REPAIRABLE,,,64,64,1,1,12,0,1332,32.52,63,19,19,0,0,0,2,"f0:278px@16,48-44,63 f0:71px@6,51-14,63",,
mrs_claus_celebrate,mrs_claus,celebrate,NEEDS_ART,"blank frame(s) 0 (under 200 opaque px); clipped at canvas edge, frame(s) 1",NEEDS_ART,f0 blank after background (151 px); f1 still clipped after background,,128,64,2,2,7,0,151;809,3.69;19.75,62;62,0;1,1,0;13,0;1,0;0,4,"f0:7px@31,59-37,59 f0:4px@37,32-37,35 f0:4px@34,62-37,62 f1:20px@31,15-35,22",,933
mrs_claus_idle,mrs_claus,idle,NEEDS_ART,blank frame(s) 0 (under 200 opaque px),NEEDS_ART,f0 blank after background (100 px),,128,64,2,2,15,0,100;1118,2.44;27.29,62;62,0;75,75,0;0,0;0,0;0,3,"f0:28px@35,60-46,62 f0:25px@24,56-32,62 f1:9px@4,58-6,62",,1218
mrs_claus_pitch,mrs_claus,pitch,REPAIRABLE,,REPAIRABLE,,,256,64,4,4,17,0,1125;1186;1107;1038,27.47;28.96;27.03;25.34,63;63;63;63,0;10;0;0,10,0;0;0;0,0;0;0;0,0;0;0;0,7,"f0:390px@11,47-48,63 f1:394px@10,47-52,63 f2:380px@9,47-48,63 f2:4px@55,0-58,0 f3:341px@23,47-55,63 f3:8px@17,62-21,63 f3:4px@5,0-8,0",,1115;1475;1429
mrs_claus_run,mrs_claus,run,REPAIRABLE,,REPAIRABLE,,,256,64,4,4,13,0,718;1118;809;707,17.53;27.29;19.75;17.26,63;63;63;62,7;0;0;0,7,0;0;0;0,0;0;0;0,0;0;0;0,7,"f0:69px@6,0-25,6 f0:39px@49,49-56,58 f0:11px@50,62-56,63 f1:431px@5,43-38,63 f2:33px@44,59-57,63 f2:18px@32,59-39,63 f2:8px@20,63-27,63",,1523;1450;1374
mrs_claus_swing,mrs_claus,swing,NEEDS_ART,"clipped at canvas edge, frame(s) 2",NEEDS_ART,f2 still clipped after background,,256,64,4,4,18,0,1058;1182;1139;1022,25.83;28.86;27.81;24.95,63;63;63;63,23;0;22;0,45,0;0;6;0,0;0;5;0,0;0;1;0,11,"f0:354px@22,46-51,63 f1:299px@21,46-49,63 f1:83px@10,52-19,63 f2:324px@15,48-43,63 f2:28px@0,13-4,18 f2:10px@50,61-59,61 f2:8px@62,59-63,63 f2:5px@59,9-60,13 f2:4px@53,22-56,24 f3:260px@30,48-57,63 f3:36px@6,57-11,63",,1425;1344;1695
pan_batting_stance,pan,batting_stance,NEEDS_ART,"clipped at canvas edge, frame(s) 0",NEEDS_ART,f0 blank after background (65 px),,64,64,1,1,14,0,4096,100.0,63,0,0,64,64,4031,0,,,
pan_celebrate,pan,celebrate,NEEDS_ART,"clipped at canvas edge, frame(s) 0,1",NEEDS_ART,f0 blank after background (0 px),,128,64,2,2,18,0,4096;4096,100.0;100.0,63;63,0;0,0,64;64,64;64,4096;3020,0,,,1072
pan_idle,pan,idle,NEEDS_ART,"clipped at canvas edge, frame(s) 0,1",NEEDS_ART,f0 blank after background (0 px),,128,64,2,2,18,0,4096;4096,100.0;100.0,63;63,0;0,0,64;64,64;64,4096;3012,0,,,1081
pan_pitch,pan,pitch,NEEDS_ART,"clipped at canvas edge, frame(s) 0,1,2,3",NEEDS_ART,f2 still clipped after background; f3 still clipped after background,,256,64,4,4,19,0,4096;4096;4096;4096,100.0;100.0;100.0;100.0,63;63;63;63,0;0;0;0,0,64;64;64;64,64;64;64;64,3130;2869;2919;3037,0,,,1320;1579;1254
pan_run,pan,run,NEEDS_ART,"clipped at canvas edge, frame(s) 0,1,2,3",REPAIRABLE,,yes,256,64,4,4,19,0,4096;4096;4096;4096,100.0;100.0;100.0;100.0,63;63;63;63,0;0;0;0,0,64;64;64;64,64;64;64;64,3175;2906;3091;3109,0,,,1154;1247;1058
pan_swing,pan,swing,NEEDS_ART,"clipped at canvas edge, frame(s) 0,1,2,3",NEEDS_ART,f1 still clipped after background; f2 still clipped after background; f3 still clipped after background,,256,64,4,4,19,0,4096;4096;4096;4096,100.0;100.0;100.0;100.0,63;63;63;63,0;0;0;0,0,64;64;64;64,64;64;64;64,2871;2912;2775;3017,0,,,1503;1824;1254
paul_bunyan_batting_stance,paul_bunyan,batting_stance,REPAIRABLE,,REPAIRABLE,,,64,64,1,1,22,0,1619,39.53,62,0,0,0,0,0,0,,,
paul_bunyan_celebrate,paul_bunyan,celebrate,REPAIRABLE,,REPAIRABLE,,,128,64,2,2,24,0,1858;1814,45.36;44.29,62;62,0;0,0,0;0,0;0,0;0,0,,,1355
